card,card_order,ResourceID,identifier_content,identifier_type,name_givenname,alt_names,other_identifier_content,other_identifier_type,name_type,name_language,id,alternative_name_content,alternative_name_content_type,alternative_name_content_language
Alternate names,1,08907c36-7770-5c5b-b105-4871215efa7f,,,,,,,,,https://n2t.net/ark:/15052/e65bd3aa-454e-45ec-850e-3528e5d02499,Sint-Sebastiaan,Alternative,Nederlands
Alternate names,1,08907c36-7770-5c5b-b105-4871215efa7f,,,,,,,,,https://n2t.net/ark:/15052/e65bd3aa-454e-45ec-850e-3528e5d02499,St. Sebastianus,Alternative,Nederlands
Actors,0,08c0eb48-6a96-5626-a257-a564ad2f74fc,https://n2t.net/ark:/15052/0acf17ee-aa62-4f6a-b989-248e502b230a,Brabant Cloud ARK Identifier,Maria Magdalena,"['Maria van Magdala', 'Sinte Marie', 'Sint-Maria Magdalena']",https://www.wikidata.org/entity/Q63070,Wikidata,Primary,Nederlands,,,,
Alternate names,1,08c0eb48-6a96-5626-a257-a564ad2f74fc,,,,,,,,,https://n2t.net/ark:/15052/0acf17ee-aa62-4f6a-b989-248e502b230a,Maria van Magdala,Alternative,Nederlands
Alternate names,1,08c0eb48-6a96-5626-a257-a564ad2f74fc,,,,,,,,,https://n2t.net/ark:/15052/0acf17ee-aa62-4f6a-b989-248e502b230a,Sinte Marie,Alternative,Nederlands
Alternate names,1,08c0eb48-6a96-5626-a257-a564ad2f74fc,,,,,,,,,https://n2t.net/ark:/15052/0acf17ee-aa62-4f6a-b989-248e502b230a,Sint-Maria Magdalena,Alternative,Nederlands
Actors,0,0947996c-2b59-5b15-8802-517126058e37,https://n2t.net/ark:/15052/9926a17c-9342-4d04-a1bd-b57fdce08fbe,Brabant Cloud ARK Identifier,Dom. Paul Bellot,"['Paul Louis Denis Bellot', 'Paul Bellot', 'P. Bellot', 'Dom P. Bellot', 'Dom Bellot']",https://www.wikidata.org/entity/Q2014346,Wikidata,Primary,Nederlands,,,,
Alternate names,1,0947996c-2b59-5b15-8802-517126058e37,,,,,,,,,https://n2t.net/ark:/15052/9926a17c-9342-4d04-a1bd-b57fdce08fbe,Paul Louis Denis Bellot,Alternative,Nederlands
Alternate names,1,0947996c-2b59-5b15-8802-517126058e37,,,,,,,,,https://n2t.net/ark:/15052/9926a17c-9342-4d04-a1bd-b57fdce08fbe,Paul Bellot,Alternative,Nederlands
Alternate names,1,0947996c-2b59-5b15-8802-517126058e37,,,,,,,,,https://n2t.net/ark:/15052/9926a17c-9342-4d04-a1bd-b57fdce08fbe,P. Bellot,Alternative,Nederlands
Alternate names,1,0947996c-2b59-5b15-8802-517126058e37,,,,,,,,,https://n2t.net/ark:/15052/9926a17c-9342-4d04-a1bd-b57fdce08fbe,Dom P. Bellot,Alternative,Nederlands
Alternate names,1,0947996c-2b59-5b15-8802-517126058e37,,,,,,,,,https://n2t.net/ark:/15052/9926a17c-9342-4d04-a1bd-b57fdce08fbe,Dom Bellot,Alternative,Nederlands
